,countries,variable_type,Region,seried_id,date,records
Date.24943,Total Americas,Total,#N/A,A85375838X,8/1/2021,580
Date.24944,Total Americas,Total,#N/A,A85375838X,9/1/2021,340
Date.24945,Total Americas,Total,#N/A,A85375838X,10/1/2021,340
Date.24946,Total Americas,Total,#N/A,A85375838X,11/1/2021,2250
Date.24947,Total Americas,Total,#N/A,A85375838X,12/1/2021,10070
Date.24948,Total Americas,Total,#N/A,A85375838X,1/1/2022,7700
Date.24949,Total Americas,Total,#N/A,A85375838X,2/1/2022,10840
Date.24950,Total Americas,Total,#N/A,A85375838X,3/1/2022,22890
Date.24951,Total Americas,Total,#N/A,A85375838X,4/1/2022,28590
Date.24952,Total Americas,Total,#N/A,A85375838X,5/1/2022,29600
Date.24953,Total Americas,Total,#N/A,A85375838X,6/1/2022,37660
Date.24954,Total Americas,Total,#N/A,A85375838X,7/1/2022,39340
Date.24955,Total Americas,Total,#N/A,A85375838X,8/1/2022,42070
Date.24956,Total Americas,Total,#N/A,A85375838X,9/1/2022,47020
Date.24957,Total Americas,Total,#N/A,A85375838X,10/1/2022,58550
Date.24958,Total Americas,Total,#N/A,A85375838X,11/1/2022,79870
Date.24959,Total Americas,Total,#N/A,A85375838X,12/1/2022,99970
Date.25728,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/1991,1290
Date.25729,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/1991,1480
Date.25730,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/1991,1720
Date.25731,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/1991,1420
Date.25732,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/1991,910
Date.25733,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/1991,940
Date.25734,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/1991,1030
Date.25735,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/1991,910
Date.25736,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/1991,1290
Date.25737,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/1991,1400
Date.25738,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/1991,1830
Date.25739,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/1991,2790
Date.25740,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/1992,1250
Date.25741,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/1992,2090
Date.25742,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/1992,2330
Date.25743,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/1992,2140
Date.25744,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/1992,1030
Date.25745,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/1992,910
Date.25746,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/1992,1800
Date.25747,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/1992,1510
Date.25748,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/1992,1730
Date.25749,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/1992,1700
Date.25750,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/1992,2820
Date.25751,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/1992,3780
Date.25752,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/1993,1580
Date.25753,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/1993,2480
Date.25754,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/1993,2660
Date.25755,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/1993,3040
Date.25756,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/1993,2050
Date.25757,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/1993,2450
Date.25758,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/1993,2610
Date.25759,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/1993,3430
Date.25760,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/1993,3030
Date.25761,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/1993,2950
Date.25762,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/1993,4810
Date.25763,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/1993,5920
Date.25764,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/1994,2600
Date.25765,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/1994,3270
Date.25766,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/1994,3720
Date.25767,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/1994,4230
Date.25768,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/1994,2280
Date.25769,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/1994,2260
Date.25770,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/1994,3550
Date.25771,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/1994,2750
Date.25772,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/1994,3680
Date.25773,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/1994,3680
Date.25774,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/1994,4310
Date.25775,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/1994,6220
Date.25776,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/1995,2690
Date.25777,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/1995,3100
Date.25778,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/1995,3750
Date.25779,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/1995,3070
Date.25780,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/1995,2070
Date.25781,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/1995,3120
Date.25782,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/1995,2780
Date.25783,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/1995,2520
Date.25784,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/1995,3260
Date.25785,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/1995,3390
Date.25786,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/1995,4620
Date.25787,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/1995,7840
Date.25788,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/1996,3740
Date.25789,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/1996,3640
Date.25790,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/1996,5110
Date.25791,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/1996,4130
Date.25792,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/1996,2610
Date.25793,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/1996,3220
Date.25794,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/1996,4210
Date.25795,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/1996,3650
Date.25796,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/1996,4020
Date.25797,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/1996,3870
Date.25798,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/1996,5570
Date.25799,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/1996,9260
Date.25800,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/1997,3900
Date.25801,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/1997,4300
Date.25802,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/1997,5230
Date.25803,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/1997,4690
Date.25804,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/1997,3550
Date.25805,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/1997,4010
Date.25806,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/1997,3910
Date.25807,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/1997,4320
Date.25808,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/1997,4180
Date.25809,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/1997,4240
Date.25810,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/1997,5640
Date.25811,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/1997,8990
Date.25812,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/1998,4400
Date.25813,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/1998,4690
Date.25814,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/1998,5600
Date.25815,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/1998,5350
Date.25816,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/1998,3810
Date.25817,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/1998,3700
Date.25818,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/1998,6440
Date.25819,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/1998,4870
Date.25820,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/1998,6500
Date.25821,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/1998,6510
Date.25822,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/1998,7450
Date.25823,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/1998,11620
Date.25824,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/1999,5280
Date.25825,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/1999,6840
Date.25826,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/1999,8240
Date.25827,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/1999,5310
Date.25828,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/1999,4160
Date.25829,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/1999,4620
Date.25830,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/1999,5650
Date.25831,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/1999,4560
Date.25832,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/1999,5400
Date.25833,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/1999,5320
Date.25834,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/1999,6670
Date.25835,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/1999,9240
Date.25836,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2000,5250
Date.25837,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2000,5970
Date.25838,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2000,6710
Date.25839,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2000,7750
Date.25840,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2000,4530
Date.25841,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2000,5390
Date.25842,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2000,6380
Date.25843,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2000,5320
Date.25844,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2000,7150
Date.25845,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2000,7170
Date.25846,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2000,6690
Date.25847,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2000,9330
Date.25848,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2001,5020
Date.25849,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2001,5810
Date.25850,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2001,6870
Date.25851,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2001,6540
Date.25852,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2001,3590
Date.25853,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2001,4640
Date.25854,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2001,6320
Date.25855,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2001,6060
Date.25856,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2001,6140
Date.25857,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2001,5660
Date.25858,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2001,6230
Date.25859,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2001,9750
Date.25860,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2002,4940
Date.25861,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2002,5630
Date.25862,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2002,7410
Date.25863,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2002,6540
Date.25864,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2002,3770
Date.25865,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2002,4820
Date.25866,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2002,5430
Date.25867,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2002,4620
Date.25868,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2002,4520
Date.25869,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2002,5220
Date.25870,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2002,5660
Date.25871,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2002,8960
Date.25872,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2003,4090
Date.25873,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2003,5020
Date.25874,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2003,5540
Date.25875,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2003,5220
Date.25876,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2003,4330
Date.25877,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2003,4180
Date.25878,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2003,4840
Date.25879,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2003,4610
Date.25880,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2003,5320
Date.25881,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2003,6710
Date.25882,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2003,9340
Date.25883,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2003,9970
Date.25884,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2004,4250
Date.25885,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2004,6090
Date.25886,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2004,6720
Date.25887,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2004,5570
Date.25888,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2004,3950
Date.25889,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2004,5080
Date.25890,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2004,5330
Date.25891,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2004,4310
Date.25892,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2004,4870
Date.25893,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2004,4500
Date.25894,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2004,5740
Date.25895,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2004,10490
Date.25896,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2005,4230
Date.25897,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2005,5330
Date.25898,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2005,7000
Date.25899,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2005,5640
Date.25900,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2005,3810
Date.25901,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2005,4450
Date.25902,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2005,4690
Date.25903,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2005,5160
Date.25904,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2005,5690
Date.25905,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2005,4680
Date.25906,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2005,6870
Date.25907,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2005,11330
Date.25908,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2006,4680
Date.25909,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2006,5990
Date.25910,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2006,8050
Date.25911,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2006,6550
Date.25912,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2006,3880
Date.25913,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2006,5250
Date.25914,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2006,5490
Date.25915,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2006,4870
Date.25916,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2006,5570
Date.25917,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2006,5760
Date.25918,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2006,6870
Date.25919,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2006,12890
Date.25920,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2007,5190
Date.25921,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2007,5940
Date.25922,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2007,9470
Date.25923,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2007,6550
Date.25924,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2007,4670
Date.25925,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2007,5360
Date.25926,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2007,6200
Date.25927,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2007,4870
Date.25928,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2007,6120
Date.25929,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2007,5830
Date.25930,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2007,8400
Date.25931,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2007,14300
Date.25932,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2008,5650
Date.25933,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2008,6900
Date.25934,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2008,9250
Date.25935,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2008,7780
Date.25936,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2008,5830
Date.25937,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2008,5910
Date.25938,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2008,8110
Date.25939,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2008,6290
Date.25940,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2008,6790
Date.25941,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2008,6230
Date.25942,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2008,7460
Date.25943,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2008,14840
Date.25944,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2009,5580
Date.25945,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2009,6230
Date.25946,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2009,6970
Date.25947,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2009,7090
Date.25948,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2009,5340
Date.25949,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2009,5500
Date.25950,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2009,5900
Date.25951,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2009,5500
Date.25952,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2009,6650
Date.25953,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2009,6180
Date.25954,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2009,7120
Date.25955,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2009,14740
Date.25956,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2010,5690
Date.25957,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2010,6180
Date.25958,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2010,8830
Date.25959,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2010,7010
Date.25960,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2010,4870
Date.25961,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2010,6660
Date.25962,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2010,5680
Date.25963,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2010,6370
Date.25964,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2010,6930
Date.25965,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2010,6590
Date.25966,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2010,7240
Date.25967,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2010,14980
Date.25968,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2011,6410
Date.25969,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2011,6350
Date.25970,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2011,7210
Date.25971,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2011,7650
Date.25972,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2011,4990
Date.25973,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2011,5450
Date.25974,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2011,5980
Date.25975,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2011,5450
Date.25976,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2011,7660
Date.25977,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2011,10760
Date.25978,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2011,7750
Date.25979,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2011,14270
Date.25980,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2012,6100
Date.25981,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2012,7070
Date.25982,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2012,7740
Date.25983,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2012,7210
Date.25984,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2012,5200
Date.25985,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2012,5780
Date.25986,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2012,5640
Date.25987,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2012,5230
Date.25988,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2012,6550
Date.25989,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2012,6150
Date.25990,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2012,7040
Date.25991,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2012,13720
Date.25992,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2013,5050
Date.25993,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2013,5960
Date.25994,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2013,8290
Date.25995,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2013,6110
Date.25996,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2013,5150
Date.25997,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2013,5880
Date.25998,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2013,5220
Date.25999,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2013,5550
Date.26000,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2013,6230
Date.26001,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2013,5790
Date.26002,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2013,7160
Date.26003,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2013,13440
Date.26004,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2014,5300
Date.26005,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2014,5970
Date.26006,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2014,6590
Date.26007,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2014,7070
Date.26008,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2014,5500
Date.26009,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2014,5070
Date.26010,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2014,6530
Date.26011,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2014,5860
Date.26012,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2014,6230
Date.26013,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2014,6100
Date.26014,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2014,7290
Date.26015,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2014,13880
Date.26016,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2015,5180
Date.26017,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2015,6120
Date.26018,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2015,8410
Date.26019,Total Sub-Saharan Africa,Total,#N/A,A85375564A,4/1/2015,6570
Date.26020,Total Sub-Saharan Africa,Total,#N/A,A85375564A,5/1/2015,4500
Date.26021,Total Sub-Saharan Africa,Total,#N/A,A85375564A,6/1/2015,5670
Date.26022,Total Sub-Saharan Africa,Total,#N/A,A85375564A,7/1/2015,5280
Date.26023,Total Sub-Saharan Africa,Total,#N/A,A85375564A,8/1/2015,5440
Date.26024,Total Sub-Saharan Africa,Total,#N/A,A85375564A,9/1/2015,6460
Date.26025,Total Sub-Saharan Africa,Total,#N/A,A85375564A,10/1/2015,5710
Date.26026,Total Sub-Saharan Africa,Total,#N/A,A85375564A,11/1/2015,7200
Date.26027,Total Sub-Saharan Africa,Total,#N/A,A85375564A,12/1/2015,15600
Date.26028,Total Sub-Saharan Africa,Total,#N/A,A85375564A,1/1/2016,5320
Date.26029,Total Sub-Saharan Africa,Total,#N/A,A85375564A,2/1/2016,7060
Date.26030,Total Sub-Saharan Africa,Total,#N/A,A85375564A,3/1/2016,8190
